# results_three_sets.csv
# Generated: 2026-08-14
# Three event sets:
#   Set A — N=233 clean phase2 events (268 scored, 35 excluded: 25 worksheet, 1 SPOT, 9 timing)
#   Set B — N=93 extension events (pure eval; scored after Set A; thresholds frozen from Set A dev)
#   Set C — N=326 combined (Set A + Set B); frontier and walk-forward on N=279 (186 Set-A eval + 93 Set B)
# HOLD-excluded (selectivity): denominator = model called BUY/SELL AND |ret_overnight|>2%
# Coverage (HOLD=wrong): denominator = all events with |ret_overnight|>2%, regardless of model call
# HOLD=wrong / coverage (frontier): denominator = all graded events (|ret|>2%) regardless of model call; model HOLD on moved event = wrong
# FLAT-as-wrong (frontier alt): denominator = all events in set (model HOLD always wrong)
# Extension (Set B) is PURE EVAL — no thresholds refitted on it. Phase2 dev thresholds frozen.
#
metric_name,value,unit,n,denominator_definition,event_set,convention,ci_low,ci_high,ci_level,p_value,mde,test_used,threshold_dependent,source_file,notes
# ---- FUNNEL ---------------------------------------------------------------
funnel_total_scored_A,268,events,268,,Set A — N=233 phase2,,,,,,,,FALSE,effective_sample_funnel.md,All phase2 events scored by LLM
funnel_excluded_worksheet_A,25,events,,,Set A — N=233 phase2,,,,,,,,FALSE,worksheet_exclusion_decision.md,Worksheet contamination: human rater's blind score + realised return leaked into LLM prompt
funnel_excluded_spot_A,1,events,,,Set A — N=233 phase2,,,,,,,,FALSE,effective_sample_funnel.md,SPOT_FQ1_2026 misattributed document
funnel_excluded_timing_A,9,events,,,Set A — N=233 phase2,,,,,,,,FALSE,effective_sample_funnel.md,Non-US issuers with unreliable overnight returns
funnel_clean_universe_A,233,events,,,Set A — N=233 phase2,,,,,,,,FALSE,effective_sample_funnel.md,268 − 25 − 1 − 9 = 233
funnel_traded_A,146,events,,Model called BUY or SELL,Set A — N=233 phase2,,,,,,,,TRUE,ext2_holding_curve.csv,
funnel_hold_events_A,87,events,,Model said HOLD — no trade,Set A — N=233 phase2,,,,,,,,TRUE,ext2_holding_curve.csv,
funnel_graded_traded_A,95,events,,|ret_overnight| > 2% AND model traded,Set A — N=233 phase2,pre-registered ±2% band,,,,,,,TRUE,ext2_holding_curve.csv,Directional accuracy computed on this base
funnel_graded_held_A,52,events,,|ret_overnight| > 2% AND model said HOLD,Set A — N=233 phase2,,,,,,,,,TRUE,effective_sample_funnel.md,Model missed these moves
funnel_graded_all_A,147,events,,All events with |ret_overnight| > 2%,Set A — N=233 phase2,,,,,,,,,FALSE,ext2_holding_curve.csv,= 95 traded + 52 held
funnel_correct_selectivity_A,62,events,,Model direction correct on graded traded events,Set A — N=233 phase2,,,,,,,,,TRUE,ext2_holding_curve.csv,
funnel_ungraded_trades_A,51,events,,Model traded but |ret_overnight| ≤ 2% (flat bet),Set A — N=233 phase2,,,,,,,,,,effective_sample_funnel.md,28/51 (54.9%) had correct sign — not significant p=0.480
funnel_extension_universe_B,93,events,,,Set B — N=93 extension,,,,,,,,FALSE,global_outcome_calibration_extension_2026_08_13.csv,Pure eval set; thresholds frozen from Set A dev split
funnel_traded_B,32,events,,Model called BUY or SELL,Set B — N=93 extension,,,,,,,,TRUE,backtest_equity_extension_2026_08_13.csv,
funnel_hold_events_B,61,events,,Model said HOLD,Set B — N=93 extension,,,,,,,,TRUE,backtest_equity_extension_2026_08_13.csv,
funnel_graded_all_B,31,events,,All events with |ret_overnight| > 2%,Set B — N=93 extension,pre-registered ±2% band,,,,,,,FALSE,finbert_extension_results.csv,BUY outcomes: 16; SELL outcomes: 15 (updated 2026-08-14: +2 Hermès events RMS_FQ1_2025 +5.7% and RMS_FQ4_2025 -6.0% now graded after zero-fill correction)
funnel_graded_traded_B,14,events,,|ret_overnight| > 2% AND model traded,Set B — N=93 extension,,,,,,,,,TRUE,finbert_extension_results.csv,
funnel_correct_selectivity_B,10,events,,Model direction correct on graded traded events,Set B — N=93 extension,,,,,,,,,TRUE,finbert_extension_results.csv,
funnel_combined_universe_C,326,events,,,Set C — N=326 combined,,,,,,,,FALSE,item_e_combined_walkforward.json,Set A (233) + Set B (93)
funnel_traded_C,178,events,,Model called BUY or SELL,Set C — N=326 in-sample deployed,,,,,,,,TRUE,item_e_combined_walkforward.json,In-sample: deployed thresholds applied to all 326
