# Section Boundary Audit (amended definitions)
# Run ID: 20260820T150023Z
# Timestamp: 2026-08-20T15:00:25.293668+00:00
# Minimum half word count: 100
# Minimum prepared fraction: 10%
#
# Exclusion rule (fixed before timing classification was visible):
# Events whose release timing cannot be sourced from a documented public
# timestamp are excluded from grading, as are events with intraday timing.
# This rule was fixed before the timing classification was visible.
# Timestamp: 2026-08-11T23:00:00Z
#
# Amended boundary definitions:
# 1. Press Release: Content delimited by === PRESS RELEASE === header.
# 2. Prepared Remarks: Within transcript, operator opening through Q&A transition.
#    Strict precedence: (a) FactSet QUESTION AND ANSWER SECTION header,
#    (b) natural-language transition phrase, (c) if neither: manual.
#    [Operator Instructions] NOT used as primary marker.
# 3. Guidance Passage: Untestable (mechanically infeasible).
# 4. Q&A: From transition marker through end of transcript block.
#
# Known recoverable losses (not recovered, 3 weeks to deadline):
#   WDAY x3: IR boilerplate transition phrase in intro (InsiderMonkey/Globe and Mail)
#   NFLX x6: InsiderMonkey moderator intro transition phrase
#   These are per-source formatting issues, recoverable with source-specific markers.
#
# Transcript/marker reconciliation: 231 have transcript, 6 have no marker
#   (3 truncated LLY, 2 raw-HTML PEP, 1 misattributed SPOT).
#
document_id,ticker,issuer,report_date,press_release,prepared_remarks,qa,transcript_split_marker,min_half_wordcount,doc_types_present,has_human_worksheet,notes,run_id
ABNB_FQ1_2026,ABNB,p2_airbnb,2026-05-07,available,available,available,factset_header,2927,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
ABNB_FQ2_2025,ABNB,p2_airbnb,2025-08-06,available,available,available,factset_header,1848,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
ABNB_FQ3_2025,ABNB,p2_airbnb,2025-11-06,available,available,available,factset_header,2864,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
ABNB_FQ4_2025,ABNB,p2_airbnb,2026-02-12,available,available,available,factset_header,3344,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
AMZN_FQ1_2026,AMZN,p2_amazon,2026-04-29,absent,available,available,transition_phrase,4199,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
AMZN_FQ3_2025,AMZN,p2_amazon,2025-10-30,absent,available,available,transition_phrase,3961,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
AMZN_FQ4_2025,AMZN,p2_amazon,2026-02-05,absent,available,available,transition_phrase,4412,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
AMD_FQ1_2026,AMD,p2_amd,2026-05-05,absent,available,available,transition_phrase,3715,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
AMD_FQ2_2025,AMD,p2_amd,2025-08-05,absent,available,available,transition_phrase,3843,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
AMD_FQ4_2025,AMD,p2_amd,2026-02-03,absent,available,available,transition_phrase,3469,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,True,,20260820T150023Z
AAPL_FQ1_2026,AAPL,p2_apple,2026-01-29,available,available,available,transition_phrase,4041,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
AAPL_FQ3_2025,AAPL,p2_apple,2025-07-31,available,available,available,transition_phrase,4076,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
AAPL_FQ4_2025,AAPL,p2_apple,2025-10-30,available,available,available,transition_phrase,4152,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
CVS_FQ1_2026,CVS,p2_cvs_health,2026-05-06,available,available,available,factset_header,3174,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
CVS_FQ2_2025,CVS,p2_cvs_health,2025-07-31,available,available,available,factset_header,3936,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
CVS_FQ3_2025,CVS,p2_cvs_health,2025-10-29,available,available,available,transition_phrase,3969,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
CVS_FQ4_2025,CVS,p2_cvs_health,2026-02-10,available,available,available,factset_header,4584,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
SCHW_FQ1_2025,SCHW,p2_charles_schwab,2025-04-16,available,available,available,transition_phrase,4429,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
SCHW_FQ1_2026,SCHW,p2_charles_schwab,2026-04-15,available,available,available,transition_phrase,3561,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
SCHW_FQ2_2025,SCHW,p2_charles_schwab,2025-07-17,available,available,available,transition_phrase,4270,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
SCHW_FQ3_2025,SCHW,p2_charles_schwab,2025-10-15,available,available,available,transition_phrase,4004,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
SCHW_FQ4_2025,SCHW,p2_charles_schwab,2026-01-20,available,available,available,transition_phrase,5142,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,False,,20260820T150023Z
