# Figure reconciliation audit — 2026-08-13
# Total data rows: 119
# TRUE (matches, including superseded that still match their own stated value): 103
# FALSE (does not match authoritative source): 16
# Status breakdown:
#   current: 97
#   stale: 6
#   superseded: 7 (matches=TRUE because stated value is consistent with the superseded anchor, but now superseded)
#   unreproducible: 2
#   stale+FALSE: 6 (stale figures flagged as must-not-cite)
# Priority: surviving_findings.md figures audited first; then other summary files.
# Authoritative sources: kappa_near_independence.csv, human_vs_llm_statistics.csv,
#   human_vs_llm_direction_decomposition.csv, section_ablation_cost_per_correct.csv,
#   section_ablation_paired_diffs.csv, ext2_holding_curve.csv, item_e_walkforward.json,
#   frontier_table.csv, workbook_metrics.csv, macro_ablation_summary.json,
#   ext9_cost_grid_summary.json, retracted_findings_2026-08-12.md.
# CSV comment header check: section_ablation_paired_diffs.csv and section_ablation_summary.csv
#   both show $0.046/$0.029 in their comment headers (CORRECTED).
#   session_log_2026-08-10_to_12.md still contains old $0.017/$0.027 (stale, see rows 47-48).
#
figure_name,value_as_stated,where_stated,line_reference,authoritative_value,source_file,event_set,n,denominator_definition,convention,matches,status,action_required,notes
spearman_rho_overnight,rho=0.236,surviving_findings.md,line 13,0.23600083738353303,ext2_holding_curve.csv,N=233 clean,233,all clean events,Spearman rank correlation blended score vs ret_overnight,TRUE,current,none,Continuous score vs continuous return; no band filter; p=0.0003
spearman_p_overnight,p=0.0003,surviving_findings.md,line 13,0.0002785250451562481,ext2_holding_curve.csv,N=233 clean,233,all clean events,one-sided Spearman p-value,TRUE,current,none,Rounds to 0.0003; exact value 0.000279
spearman_rho_1d,0.159,surviving_findings.md,line 14,0.15866528860296336,ext2_holding_curve.csv,N=233 clean,233,all clean events,Spearman rho 1d,TRUE,current,none,Rounds to 0.159; p=0.015
spearman_rho_3d,0.112,surviving_findings.md,line 15,0.1115025886636653,ext2_holding_curve.csv,N=233 clean,233,all clean events,Spearman rho 3d,TRUE,current,none,Rounds to 0.112; p=0.089
spearman_rho_5d,0.072,surviving_findings.md,line 15,0.07165816947388295,ext2_holding_curve.csv,N=233 clean,233,all clean events,Spearman rho 5d,TRUE,current,none,Rounds to 0.072; p=0.276
spearman_rho_10d,0.058,surviving_findings.md,line 16,0.0577874074265365,ext2_holding_curve.csv,N=233 clean,233,all clean events,Spearman rho 10d,TRUE,current,none,Rounds to 0.058; p=0.380
spearman_rho_old_anchor,rho=0.221,asserted_figures_audit.md,section Stale figures,superseded,ext2_holding_curve.csv (old build),N=268 old anchor,268,all events old anchor,,,TRUE,superseded,none,Explicitly superseded by 0.236 on corrected anchor; labelled superseded in asserted_figures_audit.md
selectivity_accuracy,65.3%,surviving_findings.md,line 29,0.6526315789473685,ext2_holding_curve.csv / item_e_walkforward.json,N=233 clean,95,model traded AND |ret_overnight|>2%,HOLD-excluded pre-registered +-2% band,TRUE,current,none,62/95; exact 0.6526; binomial p=0.024 vs floor 54.7%
selectivity_numerator,62/95,surviving_findings.md,line 29,62/95 n_correct=62 n_graded=95,item_e_walkforward.json,N=233 clean,95,traded+graded,HOLD-excluded,TRUE,current,none,Verified from item_e_walkforward.json in_sample_deployed block
selectivity_margin_vs_floor,+10.5pp,surviving_findings.md,line 29,+10.5pp (65.3% - 54.7%),baseline_correction_2026-08-13.md,N=233 clean,95,graded events,floor=always-DOWN 52/95,TRUE,current,none,p=0.024 one-sided binomial; MDE +-10.8pp
selectivity_floor_always_down,54.7%,surviving_findings.md,line 29,52/95 = 0.5473...,workbook_metrics.csv / baseline_correction_2026-08-13.md,N=233 clean,95,graded events,always-DOWN on graded set,TRUE,current,none,52 of 95 graded events have negative return
coverage_accuracy,62/147=42.2%,surviving_findings.md,line 33,62/147,workbook_metrics.csv,N=233 clean,147,all events with |ret_overnight|>2%,HOLD=wrong,TRUE,current,none,Must always be paired with selectivity; model is below floor (54.4%) under this convention
coverage_floor_always_down,54.4%,surviving_findings.md,line 33,80/147=0.5442...,workbook_metrics.csv,N=233 clean,147,all events with |ret_overnight|>2%,always-DOWN on all graded,TRUE,current,none,80/147 events have negative return
cross_issuer_n_issuers,29 issuers,surviving_findings.md,line 53,n_issuers_post_sweep=29,item_e_walkforward.json,post-sweep issuers in N=233,29,issuers with clean events scored after N=161 sweep,,TRUE,current,none,Confirmed in item_e_walkforward.json genuinely_unseen block
cross_issuer_n_events,101 events,surviving_findings.md,line 53,n_events_post_sweep=101,item_e_walkforward.json,post-sweep,101,post-sweep clean events,,TRUE,current,none,
cross_issuer_accuracy,63.5%,surviving_findings.md,line 56,0.6346,item_e_walkforward.json,post-sweep graded,52,33/52 graded correct,HOLD-excluded deployed thresholds,TRUE,current,none,Exact: 33/52=0.6346; rounds to 63.5%
cross_issuer_numerator,33/52,surviving_findings.md,line 56,33/52 n_correct=33 n_graded=52,item_e_walkforward.json,post-sweep graded,52,graded events in post-sweep subset,,TRUE,current,none,
cross_issuer_floor,51.9%,surviving_findings.md,line 56,majority_direction_floor=0.5192,item_e_walkforward.json,post-sweep graded,52,always-DOWN on post-sweep graded events,,TRUE,current,none,27/52=0.5192
cross_issuer_margin,+11.5pp,surviving_findings.md,line 56,margin_vs_floor_pp=11.5,item_e_walkforward.json,post-sweep graded,52,,,TRUE,current,none,63.5% - 51.9% = 11.6pp; JSON records 11.5pp (rounding)
cross_issuer_p,p=0.063,surviving_findings.md,line 56,binomial_p=0.0627,item_e_walkforward.json,post-sweep graded,52,,one-sided binomial,TRUE,current,none,Rounds to 0.063
cross_issuer_mde,MDE+-20.8pp,surviving_findings.md,line 57,mde_pp=20.8,item_e_walkforward.json,post-sweep graded,52,,80% power alpha=0.10,TRUE,current,none,
cross_issuer_mean_net,+2.785%,surviving_findings.md,line 71,mean_net_pct=2.7847,item_e_walkforward.json,post-sweep traded,70,post-sweep traded events,,TRUE,current,none,Rounds to +2.785%
item_c_cost_pr_all_n200,\$0.029,surviving_findings.md,line 126,0.029,section_ablation_cost_per_correct.csv,all_n200 press_release,200,all_n200 press release calls,cost per correct call,TRUE,current,none,Exact value from CSV: 0.029; section_ablation_paired_diffs.csv comment header also shows $0.029 (corrected)
item_c_cost_full_all_n200,\$0.046,surviving_findings.md,line 126,0.046,section_ablation_cost_per_correct.csv,all_n200 full_bundle,200,all_n200 full bundle calls,cost per correct call,TRUE,current,none,Exact value from CSV: 0.046; section_ablation_paired_diffs.csv comment header shows $0.046 (corrected)
item_c_cost_pr_four_arm,\$0.0225,surviving_findings.md,line 128,0.0225,section_ablation_cost_per_correct.csv,four_arm_n119 press_release,119,four-arm press release calls,cost per correct call,TRUE,current,none,Exact value 0.0225 from CSV
item_c_cost_full_four_arm,\$0.0358,surviving_findings.md,line 128,0.0358,section_ablation_cost_per_correct.csv,four_arm_n119 full_bundle,119,four-arm full bundle calls,cost per correct call,TRUE,current,none,Exact value 0.0358 from CSV
