Company	Ticker	Year	Quarter	Rater	Type	Sentiment Score	Decision	Time	Prior Close	Next Day Open	Actual % Change	Actual Direction	Prediction Correct	Position	Net P&L	Notes
Airbnb		2026	Q1	Ben/DeepSeek	LLM	0.37	BUY		140.46	138.12						Tone: confident. Risks: Macroeconomic and geopolitical uncertainty, including tariff uncertainty and the conf; Tougher comparisons in H2 2026 against the 2025 rollout of Reserve Now, Pay Later.. [Micro=0.50; Blend=0.37] [news]
Airbnb		2025	Q2	Ben/DeepSeek	LLM	0.14	HOLD		130.50	120.38						Tone: confident. Risks: Tougher year-over-year comparisons toward the end of Q3 and into Q4, putting pressure; Adjusted EBITDA margin expected to be lower in Q3 and Q4 2025 compared to prior year. [Micro=0.20; Blend=0.14] [news]
Airbnb		2025	Q3	Ben/DeepSeek	LLM	0.20	HOLD		120.53	125.50						Tone: confident. Risks: Tough year-over-year comps in Q4 2025 for nights and seats booked.; Q4 2025 adjusted EBITDA expected flat-to-down slightly YoY, margin declining, primari. [Micro=0.25; Blend=0.20] [news]
Airbnb		2025	Q4	Ben/DeepSeek	LLM	0.44	BUY		115.96	126.46						Tone: confident. Risks: Travel is influenced by currency, macroeconomic conditions, and global events (manage; Cancellation rates increased approximately 1% due to Reserve Now, Pay Later (from ~16. [Micro=0.55; Blend=0.44] [news]
Amazon		2026	Q1	Ben/DeepSeek	LLM	0.60	BUY		263.04	273.17						Tone: confident. Risks: Memory component costs have skyrocketed and supply volatility threatens capacity.; Higher transport and fuel costs plus about $1B of LEO expense pressure Q2 margins.. [Micro=0.80; Blend=0.60] [news]
Amazon		2025	Q3	Ben/DeepSeek	LLM	-0.44	SELL		222.86	250.10						Tone: confident. Risks: AWS margins subject to swings as AI data center depreciation builds.; Power flagged as a possible industry bottleneck, with chips a later constraint.. [Micro=-0.55; Blend=-0.44] [news]
Amazon		2025	Q4	Ben/DeepSeek	LLM	-0.28	SELL		222.69	202.70						Tone: confident. Risks: Results may be materially affected by geopolitics, tariffs and supply volatility.; AWS margins expected to fluctuate as AI investments depreciate.. [Micro=-0.30; Blend=-0.28] [news]
AMD		2026	Q1	Ben/DeepSeek	LLM	0.58	BUY		355.26	409.49						Tone: confident. Risks: Second-half PC and gaming demand pressure from higher memory and component costs.; Supply chain tightness across wafer and back-end capacity.. [Micro=0.80; Blend=0.58] [news]
AMD		2025	Q2	Ben/DeepSeek	LLM	0.27	BUY		174.31	165.05						Tone: confident. Risks: MI308 China export licenses under review, no China GPU revenue assumed in guidance.; Embedded segment faces mixed end-market demand with unfavorable product mix.. [Micro=0.30; Blend=0.27] [news]
AMD		2025	Q4	Ben/DeepSeek	LLM	0.63	BUY		242.11	215.00						Tone: confident. Risks: China GPU sales are highly uncertain; only $100M assumed in Q1 guide and no additiona; Semi-custom gaming revenue expected to decline a significant double-digit percentage. [Micro=0.75; Blend=0.63] [news]
Apple		2026	Q1	Ben/DeepSeek	LLM	0.24	HOLD		257.80	254.70						Tone: confident. Risks: Supply constraints on advanced nodes (3nm) for SoCs, limiting iPhone supply in Q2.; Growing memory component costs impacting gross margin, expected to be more significan. [Micro=0.30; Blend=0.24] [news]
Apple		2025	Q3	Ben/DeepSeek	LLM	0.12	HOLD		206.75	210.04						Tone: confident. Risks: Tariff-related costs: $800 million incurred in June quarter, estimated $1.1 billion i; iPad revenue declined 8% year-over-year due to difficult compare.. [Micro=0.15; Blend=0.12] [news]
Apple		2025	Q4	Ben/DeepSeek	LLM	0.28	BUY		270.63	276.21						Tone: confident. Risks: Supply constraints on several iPhone 16 and iPhone 17 models limiting device availabi; Tariff-related costs: $1.1 billion in the September quarter, projected $1.4 billion f. [Micro=0.30; Blend=0.28] [news]
CVS Health		2026	Q1	Ben/DeepSeek	LLM	0.37	BUY		86.86	87.00						Tone: confident. Risks: Medicare Advantage final rate notice remains insufficient to offset underlying medica; Medical cost trends remain above historical levels and have pressured the industry fo. [Micro=0.50; Blend=0.37] [news]
CVS Health		2025	Q2	Ben/DeepSeek	LLM	0.30	BUY		60.19	60.40						Tone: confident. Risks: Elevated medical cost trends across all lines of business, particularly in Group Medi; Pressure in Health Care Delivery business driven by higher medical benefit ratio at O. [Micro=0.30; Blend=0.30] [news]
CVS Health		2025	Q3	Ben/DeepSeek	LLM	0.29	BUY		78.76	74.34						Tone: confident. Risks: Goodwill impairment of $5.7 billion in Health Care Delivery due to reduced clinic gro; Near-term PBM contract pressures from market basket guarantees leading to a $240 mill. [Micro=0.30; Blend=0.29] [news]
CVS Health		2025	Q4	Ben/DeepSeek	LLM	0.09	HOLD		74.58	74.58						Tone: confident. Risks: 2027 Medicare Advantage Advance Rate Notice is 'disappointing' and 'does not match th; Medical cost trends remain elevated across all products.. [Micro=0.15; Blend=0.09] [news]
Charles Schwab		2025	Q1	Ben/DeepSeek	LLM	0.24	HOLD		74.51	76.45						Tone: confident. Risks: Lower expected future path of interest rates (forward curve moving between three to f; Lower equity markets impacting asset management fees.. [Micro=0.30; Blend=0.24] [news]
Charles Schwab		2026	Q1	Ben/DeepSeek	LLM	0.18	HOLD		99.91	95.42						Tone: confident. Risks: Continued market volatility could influence client cash allocations.; Typical drawdown in client cash due to tax payments in April.. [Micro=0.30; Blend=0.18] [news]
Charles Schwab		2025	Q2	Ben/DeepSeek	LLM	0.28	BUY		91.93	94.50						Tone: confident. Risks: Potential pullback in client trading volumes in the second half of 2025.; Macroeconomic factors and shifts in market sentiment could influence client cash allo. [Micro=0.30; Blend=0.28] [news]
Charles Schwab		2025	Q3	Ben/DeepSeek	LLM	0.21	HOLD		93.41	93.85						Tone: confident. Risks: Potential shifts in sentiment and engagement levels in the evolving macroeconomic env; The last couple of weeks remind us the environment can shift quickly.. [Micro=0.30; Blend=0.21] [news]
Charles Schwab		2025	Q4	Ben/DeepSeek	LLM	0.36	BUY		100.29	100.63						Tone: confident. Risks: 2026 scenario assumes 225 basis points in Fed funds rate cuts and 6.5% equity market; Scenario allows for a slight pullback in trading volumes to roughly 7.4 million daily. [Micro=0.50; Blend=0.36] [news]
Citigroup		2025	Q1	Ben/DeepSeek	LLM	0.15	HOLD		62.40	61.17						Tone: confident. Risks: Deterioration in the macroeconomic outlook driving an ACL build; Higher net credit losses in card portfolios in USPB. [Micro=0.15; Blend=0.15] [news]
Citigroup		2025	Q2	Ben/DeepSeek	LLM	0.16	HOLD		88.71	89.45						Tone: confident. Risks: Higher cost of credit: 'Citigroup cost of credit of $2.9 billion increased 16%, drive; Non-accrual loans increased 49% YoY to $3.4 billion, driven by idiosyncratic downgrad. [Micro=0.15; Blend=0.16] [news]
Citigroup		2025	Q3	Ben/DeepSeek	LLM	0.24	HOLD		98.27	99.60						Tone: confident. Risks: Goodwill impairment of $726 million related to the Banamex transaction, recorded in O; Corporate non-accrual loans increased 119% YoY to $2.1 billion, driven by idiosyncrat. [Micro=0.30; Blend=0.24] [news]
Citigroup		2025	Q4	Ben/DeepSeek	LLM	0.24	HOLD		111.30	112.73						Tone: confident. Risks: Russia HFS accounting treatment resulted in a ~$1.2 billion pre-tax loss ($1.1 billio; Ongoing regulatory consent order with no stated resolution date; timing of closure is. [Micro=0.30; Blend=0.24] [news]
Coca-Cola		2026	Q1	Ben/DeepSeek	LLM	0.28	BUY		77.85	77.87						Tone: confident. Risks: Comparable gross margin declined 30 bps due to commodity pressures in tea and coffee; Uncertainty stemming from geopolitical tensions may cause the outlook to change.. [Micro=0.30; Blend=0.28] [news]
Coca-Cola		2025	Q2	Ben/DeepSeek	LLM	0.13	HOLD		67.74	67.74						Tone: confident. Risks: Currency headwinds: 1%-2% headwind to full-year comparable net revenues and 5% headwi; Global unit case volume declined 1% in Q2, impacted by adverse weather, difficult pri. [Micro=0.20; Blend=0.13] [news]
Coca-Cola		2025	Q4	Ben/DeepSeek	LLM	0.16	HOLD		75.80	75.87						Tone: mixed. Risks: New excise tax in Mexico implemented at start of 2026, expected to pressure volume.; Divestitures (sale of Coca-Cola Beverages Africa and CHI Nigeria) expected to be a ba. [Micro=0.15; Blend=0.16] [news]
Coinbase		2026	Q1	Ben/DeepSeek	LLM	-0.24	HOLD		192.96	186.05						Tone: cautious. Risks: Total crypto market cap and trading volumes both fell more than 20% quarter over quar; Institutional transaction revenue dropped 27% as low volatility cut hedging demand at. [Micro=-0.35; Blend=-0.24] [news]
Coinbase		2025	Q3	Ben/DeepSeek	LLM	0.28	BUY		328.51	336.00						Tone: confident. Risks: A multi-quarter regulatory roadmap is still needed to bring US options products to ma; New exchange competitors are entering, with competitive dynamics acknowledged in Octo. [Micro=0.30; Blend=0.28] [news]
Coinbase		2025	Q4	Ben/DeepSeek	LLM	-0.04	HOLD		141.09	153.70						Tone: mixed. Risks: Crypto market cap fell 11% in Q4, and softness is reflected in the subscription guide; Brief platform interruptions affected core buy, sell, and transfer functions.. [Micro=-0.10; Blend=-0.04] [news]
Eli Lilly		2026	Q1	Ben/DeepSeek	LLM	0.65	BUY		849.75	897.24						Tone: confident. Risks: Pricing headwinds expected in the low to mid teens for the full year.; Loss of Medicaid access in some states dented Q1 Zepbound prescription growth.. [Micro=0.85; Blend=0.65] [news]
Eli Lilly		2025	Q3	Ben/DeepSeek	LLM	0.40	BUY		809.59	833.44						Tone: confident. Risks: US realized prices fell 15% in the quarter.; The CVS formulary switch created patient and physician disruption, though the Zepboun. [Micro=0.50; Blend=0.40] [news]
Eli Lilly		2025	Q4	Ben/DeepSeek	LLM	0.34	BUY		1000.07	1071.48						Tone: confident. Risks: Pricing expected to drag growth by a low to mid-teens percentage, with US realized pr; California and other states removing Medicaid obesity coverage in 2026.. [Micro=0.50; Blend=0.34] [news]
Goldman Sachs		2025	Q1	Ben/DeepSeek	LLM	-0.03	HOLD		482.28	497.46						Tone: mixed. Risks: Significant near-term and longer-term uncertainty from trade war and policy changes,; Prospect of recession has increased, with US growth expectation falling from over 2%. [Micro=0.00; Blend=-0.03] [news]
Goldman Sachs		2026	Q1	Ben/DeepSeek	LLM	0.15	HOLD		903.82	871.71						Tone: confident. Risks: NIM compression in private banking and lending expected to persist through 2026.; Geopolitical uncertainty, particularly the conflict in the Middle East, which slowed. [Micro=0.15; Blend=0.15] [news]
Goldman Sachs		2025	Q2	Ben/DeepSeek	LLM	0.21	HOLD		688.65	694.52						Tone: confident. Risks: Modest net losses in private portfolio driven by markdowns in relation to certain rea; Provision for credit losses of $384 million primarily driven by charge-offs in the cr. [Micro=0.30; Blend=0.21] [news]
Goldman Sachs		2026	Q2	Ben/DeepSeek	LLM	0.21	HOLD		1045.91	1085.00						Tone: confident. Risks: Risks can emerge quickly and drive periods of disruption and volatility across market; Sponsor volumes are still subdued versus historical averages.. [Micro=0.30; Blend=0.21] [news]
Goldman Sachs		2025	Q3	Ben/DeepSeek	LLM	0.32	BUY		775.38	753.38						Tone: confident. Risks: Investor exuberance and potential market cycle downturn: 'there is a fair amount of i; Credit cycle risk: 'if you got into a period where we had a credit cycle, which we ha. [Micro=0.35; Blend=0.32] [news]
Goldman Sachs		2025	Q4	Ben/DeepSeek	LLM	0.28	BUY		923.72	916.02						Tone: confident. Risks: Economic growth, policy uncertainty, geopolitical developments, and market volatility; Potential for an exogenous event or macro event to change sentiment and slow M&A acti. [Micro=0.30; Blend=0.28] [news]
IBM		2026	Q1	Ben/DeepSeek	LLM	0.27	BUY		250.02	230.57						Tone: confident. Risks: Potential energy impacts in Europe if straits remain closed (speculative, not yet mat; Currency headwinds from geographic mix affecting consulting margins.. [Micro=0.30; Blend=0.27] [news]
IBM		2025	Q2	Ben/DeepSeek	LLM	0.46	BUY		274.98	254.73						Tone: confident. Risks: Geopolitical tensions prompting a few clients to move cautiously.; US federal spending somewhat constrained in the first half.. [Micro=0.50; Blend=0.46] [news]
IBM		2025	Q4	Ben/DeepSeek	LLM	0.28	BUY		290.36	313.75						Tone: confident. Risks: Confluent acquisition expected to cause ~$600 million dilution in 2026, primarily fro; Infrastructure revenue expected to decline low single digits in 2026 due to product c. [Micro=0.35; Blend=0.28] [news]
Lowe's		2025	Q1	Ben/DeepSeek	LLM	0.04	HOLD		217.41	217.22						Tone: confident. Risks: Ongoing pressure in DIY bigger ticket discretionary demand; Unfavorable weather earlier in the quarter. [Micro=0.00; Blend=0.04] [news]
Lowe's		2026	Q1	Ben/DeepSeek	LLM	0.00	HOLD		221.05	217.75						Tone: mixed. Risks: DIY demand remains under pressure due to elevated interest rates, higher costs, and l; Near-term pressure from higher transportation costs in Q2.. [Micro=0.00; Blend=0.00] [news]
Lowe's		2025	Q2	Ben/DeepSeek	LLM	0.10	HOLD		253.52	252.48						Tone: confident. Risks: Elevated mortgage rates and cautious consumer behavior; Affordability pressure and lock-in effect from low housing turnover. [Micro=0.15; Blend=0.10] [news]
Lowe's		2025	Q3	Ben/DeepSeek	LLM	-0.36	SELL		226.30	225.98						Tone: cautious. Risks: Ongoing macroeconomic uncertainty and a cautious consumer.; Elevated borrowing costs for longer than anticipated, weighing on larger discretionar. [Micro=-0.50; Blend=-0.36] [news]
Lowe's		2025	Q4	Ben/DeepSeek	LLM	-0.15	HOLD		261.76	262.08						Tone: cautious. Risks: Persistent volatility in housing macro and elevated mortgage rates pressuring big-tic; Uncertainty around tariff policy and its impact on costs and pricing.. [Micro=-0.15; Blend=-0.15] [news]
Lululemon		2026	Q1	Ben/DeepSeek	LLM	-0.46	SELL		124.92	110.43						Tone: cautious. Risks: Negative brand commentary in media and social channels impacting traffic and top-line; Underperformance of certain product launches, including the Look of Yoga campaign.. [Micro=-0.50; Blend=-0.46] [news]
Lululemon		2025	Q3	Ben/DeepSeek	LLM	-0.33	SELL		187.01	204.58						Tone: cautious. Risks: Tariffs and removal of de minimis provision causing significant margin pressure (410; U.S. demand softening: 'We have seen some pullback in demand post Thanksgiving in ter. [Micro=-0.50; Blend=-0.33] [news]
Lululemon		2025	Q4	Ben/DeepSeek	LLM	-0.36	SELL		159.27	158.04						Tone: cautious. Risks: Tariffs: gross tariff cost of $275M in 2025, forecast $380M in 2026 with $160M offset; North America revenue expected to decline 1%-3% in 2026.. [Micro=-0.50; Blend=-0.36] [news]
Maersk		2025	Q1	Ben/DeepSeek	LLM	0.00	HOLD		6.99	7.13						Tone: mixed. Risks: Increased macroeconomic and geopolitical uncertainty, particularly from US-China trad; Global container market volume growth revised down to -1% to 4%.. [Micro=0.00; Blend=0.00]
Maersk		2025	Q2	Ben/DeepSeek	LLM	0.44	BUY		10.40	10.49						Tone: confident. Risks: Unprecedented geopolitical volatility and low visibility into macroeconomic factors.; Continued uncertainty around US trade policy and tariffs (effective container-weighte. [Micro=0.50; Blend=0.44] [news]
Maersk		2025	Q3	Ben/DeepSeek	LLM	0.32	BUY		10.08	9.52						Tone: confident. Risks: Continued pressure on Ocean freight rates, which declined 31% year-on-year.; Ongoing uncertainty in the geopolitical environment, including the Red Sea disruption. [Micro=0.35; Blend=0.32] [news]
Maersk		2025	Q4	Ben/DeepSeek	LLM	-0.50	SELL		4.44	4.31						Tone: cautious. Risks: Industry overcapacity from new vessel deliveries; Potential full Red Sea reopening in 2026, which would add further capacity. [Micro=-0.50; Blend=-0.50]
McDonald's		2026	Q1	Ben/DeepSeek	LLM	-0.06	HOLD		281.79	283.08						Tone: mixed. Risks: U.S. company-operated restaurant margins described as 'not acceptable,' prompting man; Franchisee profitability under pressure in both the U.S. and IOM segments due to pers. [Micro=-0.10; Blend=-0.06] [news]
McDonald's		2024	Q4	Ben/DeepSeek	LLM	-0.02	HOLD		297.70	296.68						Tone: cautious. Risks: E. coli outbreak impact on U.S. Q4 comps and recovery expected by beginning of Q2 202; Pressure on low-income and family consumer cohorts, particularly in Europe, with low-. [Micro=-0.10; Blend=-0.02] [news]
McDonald's		2025	Q4	Ben/DeepSeek	LLM	0.24	HOLD		319.25	325.79						Tone: confident. Risks: Challenging QSR industry environment in U.S. and many markets expected to persist in; Severe weather impacts in U.S. in late January estimated at about 100 basis points fo. [Micro=0.25; Blend=0.24] [news]
Meta		2026	Q1	Ben/DeepSeek	LLM	-0.46	SELL		668.50	618.75						Tone: confident. Risks: Legal and regulatory headwinds in the EU and US could significantly impact results.; Higher component costs, especially memory, driving capex increases.. [Micro=-0.50; Blend=-0.46] [news]
Meta		2025	Q3	Ben/DeepSeek	LLM	-0.40	SELL		749.72	667.41						Tone: mixed. Risks: EU regulatory risk: the Commission may impose further changes to the Less Personalize; US youth-safety litigation: trials scheduled for 2026 that may ultimately result in a. [Micro=-0.45; Blend=-0.40] [news]
Meta		2025	Q4	Ben/DeepSeek	LLM	0.37	BUY		667.54	736.12						Tone: confident. Risks: Legal and regulatory headwinds in EU and US, with trials scheduled this year that may; Reality Labs losses expected to remain similar to 2025 levels before improving.. [Micro=0.50; Blend=0.37] [news]
Nike		2025	Q1	Ben/DeepSeek	LLM	-0.36	SELL		85.31	79.34						Tone: cautious. Risks: Elevated inventory requiring higher promotional activity and creating gross margin pr; Traffic declines across NIKE Direct and partner stores in Greater China were more sig. [Micro=-0.50; Blend=-0.36] [news]
Nike		2025	Q2	Ben/DeepSeek	LLM	-0.34	SELL		74.17	73.07						Tone: cautious. Risks: Higher markdowns and promotional activity pressuring margins; Classic footwear franchise deceleration expected to continue for several quarters. [Micro=-0.50; Blend=-0.34] [news]
Nike		2025	Q3	Ben/DeepSeek	LLM	-0.34	SELL		69.48	64.38						Tone: mixed. Risks: Higher discounts and markdowns pressuring margins; Inventory obsolescence reserves increased. [Micro=-0.50; Blend=-0.34] [news]
Nvidia		2025	Q1	Ben/DeepSeek	LLM	-0.46	SELL		131.08	134.80						Tone: mixed. Risks: Gross margin trough during Blackwell ramp, with recovery back-loaded and unproven.; Tariffs explicitly described as 'a little bit of an unknown' with no quantification.. [Micro=-0.50; Blend=-0.46] [news]
Nvidia		2025	Q2	Ben/DeepSeek	LLM	0.25	HOLD		134.62	142.05						Tone: confident. Risks: Losing access to the China AI accelerator market, which we believe will grow to nearl; The H20 export ban ended our Hopper Data Center business in China; we cannot reduce H. [Micro=0.35; Blend=0.25] [news]
Nvidia		2025	Q3	Ben/DeepSeek	LLM	0.42	BUY		181.36	180.58						Tone: confident. Risks: Data Center revenue of $41.1B slightly below the $41.34B StreetAccount consensus, the; Compute revenue declined 1% sequentially due to the $4.0B H20 hole from China export. [Micro=0.60; Blend=0.42] [news]
Nvidia		2025	Q4	Ben/DeepSeek	LLM	0.57	BUY		186.28	195.70						Tone: confident. Risks: China revenue constraints: 'Sizable purchase orders never materialized in the quarter; Rising input costs: 'input costs are on the rise but we are working to hold gross mar. [Micro=0.75; Blend=0.57] [news]
Tesla		2026	Q1	Ben/DeepSeek	LLM	0.12	HOLD		387.51	375.28						Tone: mixed. Risks: Battery pack capacity called the biggest limiter on production growth.; Negative free cash flow through 2026 during the investment phase.. [Micro=0.10; Blend=0.12] [news]
Tesla		2025	Q3	Ben/DeepSeek	LLM	0.10	HOLD		438.97	420.00						Tone: confident. Risks: Total tariff impacts for Q3 for both businesses were in excess of $400 million, gener; Headwinds in energy storage business due to increase in competition and tariffs.. [Micro=0.20; Blend=0.10] [news]
Tesla		2025	Q4	Ben/DeepSeek	LLM	0.52	BUY		431.46	437.80						Tone: optimistic. Risks: Energy margin compression from increased low-cost competition, policy uncertainty, an; Short-term automotive margin pressure from the transition to a subscription-based FSD. [Micro=0.60; Blend=0.52] [news]
Uber		2025	Q1	Ben/DeepSeek	LLM	0.21	HOLD		85.83	83.13						Tone: confident. Risks: Insurance costs remain a headwind, though moderating (high-single digits in 2025).; Macroeconomic uncertainty from trade and economic policy headlines.. [Micro=0.30; Blend=0.21] [news]
Uber		2026	Q1	Ben/DeepSeek	LLM	0.21	HOLD		72.95	77.46						Tone: confident. Risks: GAAP Net income includes a $1.5 billion net headwind (pretax) from revaluations of Ub; Business model changes negatively impacted total revenue YoY growth by 9 percentage p. [Micro=0.30; Blend=0.21] [news]
Uber		2025	Q2	Ben/DeepSeek	LLM	0.18	HOLD		89.39	90.95						Tone: confident. Risks: Insurance pricing pressures moderating but still a factor in US mobility pricing grow; Autonomous vehicle investments are not yet profitable and require upfront capital.. [Micro=0.30; Blend=0.18] [news]
Uber		2025	Q4	Ben/DeepSeek	LLM	0.24	HOLD		77.93	75.62						Tone: confident. Risks: AV competition and the potential for winner-take-most dynamics in autonomous vehicle; Insurance cost headwinds in the US, though management notes improvement. [Micro=0.30; Blend=0.24] [news]
Walmart		2025	Q1	Ben/DeepSeek	LLM	0.10	HOLD		96.03	93.52						Tone: mixed. Risks: Tariffs: 'the magnitude of the tariffs, even at the reduced levels announced this wee; Tariff uncertainty: 'the range of possible outcomes is much greater than when we orig. [Micro=0.10; Blend=0.10] [news]
Walmart		2026	Q1	Ben/DeepSeek	LLM	0.06	HOLD		130.85	124.41						Tone: confident. Risks: Higher fuel costs: absorbed approximately $175 million (250 bps of operating income g; Consumer pressure: lower-income consumers are budget-conscious; gallons per fuel fill. [Micro=0.15; Blend=0.06] [news]
Walmart		2025	Q2	Ben/DeepSeek	LLM	0.24	HOLD		101.96	98.82						Tone: confident. Risks: Higher self-insured general liability claims expense: $450 million incremental in Q2,; Tariff-related cost pressures: 'as we replenish inventory at post-tariff price levels. [Micro=0.30; Blend=0.24] [news]
Walmart		2025	Q3	Ben/DeepSeek	LLM	0.37	BUY		100.01	103.32						Tone: confident. Risks: Lower-income households under additional pressure, with some moderation in spending.; Merchandise category mix headwind to gross margin, as grocery and health & wellness o. [Micro=0.50; Blend=0.37] [news]
Walmart		2025	Q4	Ben/DeepSeek	LLM	0.18	HOLD		126.12	127.99						Tone: confident. Risks: Tariff environment and trade policy uncertainty; Maximum Fair Pricing legislation creating ~100 bps headwind to health & wellness sale. [Micro=0.30; Blend=0.18] [news]
Bank of America		2025	Q1	Ben/DeepSeek	LLM	-0.02	HOLD		36.96	36.84						Tone: confident. Risks: Potential impact of a changing economy on future performance (CEO: 'we potentially fa; Interest rate sensitivity: a 100 bps parallel shift below the March 31, 2025 forward. [Micro=0.00; Blend=-0.02] [news]
Bank of America		2025	Q2	Ben/DeepSeek	LLM	0.12	HOLD		45.17	45.26						Tone: confident. Risks: A 100 bps parallel shift below the June 30, 2025 forward interest rate yield curve is; Provision for credit losses increased to $1.6B from $1.5B in both 1Q25 and 2Q24, with. [Micro=0.15; Blend=0.12] [news]
Bank of America		2025	Q3	Ben/DeepSeek	LLM	0.24	HOLD		49.29	50.75						Tone: confident. Risks: 100 bps parallel shift below the September 30, 2025, forward interest rate yield curv; Provision for credit losses of $1.3B, though down from prior periods, remains a mater. [Micro=0.30; Blend=0.24] [news]
Bank of America		2025	Q4	Ben/DeepSeek	LLM	0.20	HOLD		53.95	52.31						Tone: confident. Risks: Impact of lower interest rates on net interest income: '100 bps parallel shift below; Higher noninterest expense driven by investments in people, brand, and technology, an. [Micro=0.25; Blend=0.20] [news]
Boeing		2025	Q1	Ben/DeepSeek	LLM	0.26	BUY		172.37	171.20						Tone: confident. Risks: Approximately 50 China deliveries at risk due to retaliatory tariffs; customers in Ch; Input tariffs on components from Japan and Italy (10% tariff) affecting wide-body air. [Micro=0.25; Blend=0.26] [news]
Boeing		2025	Q2	Ben/DeepSeek	LLM	0.20	HOLD		226.08	227.84						Tone: confident. Risks: Unallocated items include a $445 million earnings charge from the May 2025 non-prosec; Forward-looking statements caution about risks related to aircraft production quality. [Micro=0.20; Blend=0.20] [news]
Boeing		2025	Q3	Ben/DeepSeek	LLM	-0.36	SELL		213.58	210.01						Tone: mixed. Risks: 777X program charge of $4.9 billion due to updated certification timeline and first d; Ongoing production stabilization efforts for 737 and 787 programs.. [Micro=-0.50; Blend=-0.36] [news]
Boeing		2025	Q4	Ben/DeepSeek	LLM	0.25	HOLD		248.43	242.50						Tone: confident. Risks: New $565M charge on KC-46A tanker program driven by higher production support and sup; Ongoing certification delays on 777X, 737-7, and 737-10 programs.. [Micro=0.25; Blend=0.25]
Disney		2025	Q1	Ben/DeepSeek	LLM	0.17	HOLD		100.21	102.05						Tone: confident. Risks: Higher programming and production costs at Sports due to airing three additional Coll; Sports operating income adversely impacted by a write-off due to exiting the Venu joi. [Micro=0.25; Blend=0.17] [news]
