Company	Ticker	Year	Quarter	Rater	Type	Sentiment Score	Decision	Time	Prior Close	Next Day Open	Actual % Change	Actual Direction	Prediction Correct	Position	Net P&L	Notes
Boeing		2025	Q4	Ben/DeepSeek	LLM	0.25	HOLD		248.43	242.50						Tone: confident. Risks: New $565M charge on KC-46A tanker program driven by higher production support and sup; Ongoing certification delays on 777X, 737-7, and 737-10 programs.. [Micro=0.25; Blend=0.25]
Barclays		2025	Q2	Ben/DeepSeek	LLM	0.25	HOLD		19.65	19.56						Tone: confident. Risks: Delay in implementation of the US card model (2026/2027) affecting RWA allocation and; Uncertainty around Pillar 2A in UK Basel, with no clarity yet on offset.. [Micro=0.25; Blend=0.25]
Barclays		2025	Q3	Ben/DeepSeek	LLM	0.30	BUY		20.11	20.50						Tone: confident. Risks: Competition in the UK fixed-term deposit market, expected to continue due to ISA conc; Relative underperformance in Corporate M&A, ECM, and Equity Derivatives (limited Asia. [Micro=0.30; Blend=0.30]
Barclays		2026	Q1	Ben/DeepSeek	LLM	0.25	HOLD		23.00	23.10						Tone: confident. Risks: Potential increase in UK banking surcharge (1% increase would cost ~£35m/year).; Inflationary pressures on costs (people, property, technology) with lagged transmissi. [Micro=0.25; Blend=0.25]
Ford		2025	Q2	Ben/DeepSeek	LLM	-0.15	HOLD		10.36	10.26						Tone: confident. Risks: Net tariff headwind of about $2 billion for the full year 2025.; Warranty costs, particularly FSA (recall) costs, remain a headwind with a longer arc. [Micro=-0.15; Blend=-0.15]
Ford		2025	Q4	Ben/DeepSeek	LLM	0.30	BUY		13.26	13.31						Tone: confident. Risks: Novelis fires causing $1.5B-$2B in temporary costs in 2026; Higher commodity prices driven by inflation and pressure on DRAM. [Micro=0.30; Blend=0.30]
Ford		2026	Q1	Ben/DeepSeek	LLM	0.30	BUY		12.09	11.41						Tone: confident. Risks: Commodity headwinds of just above $2 billion, about $1 billion higher than previous e; Ongoing tariff impact of about $1 billion (excludes IEEPA benefit and Novelis tempora. [Micro=0.30; Blend=0.30]
Microsoft		2025	Q1	Ben/DeepSeek	LLM	0.25	HOLD		426.61	409.67						Tone: confident. Risks: Scaling AI infrastructure is driving gross margin compression (Microsoft Cloud gross; Supply constraints for AI capacity, including third-party delivery delays, are limiti. [Micro=0.25; Blend=0.25]
Microsoft		2025	Q2	Ben/DeepSeek	LLM	0.30	BUY		437.14	413.86						Tone: confident. Risks: Non-AI Azure services execution challenges in scale motions, particularly with custom; AI capacity constraints expected to continue in Q3, with balance expected by end of F. [Micro=0.30; Blend=0.30]
Microsoft		2026	Q1	Ben/DeepSeek	LLM	0.55	BUY		538.14	527.14						Tone: confident. Risks: Azure capacity constrained through at least end of fiscal year, limiting revenue grow; FX expected to increase total revenue growth by 2 points in Q2, a tailwind that may n. [Micro=0.55; Blend=0.55]
Pfizer		2025	Q1	Ben/DeepSeek	LLM	0.15	HOLD		21.14	20.94						Tone: confident. Risks: Lower Paxlovid revenues due to a one-time revenue credit in Q1 2024 and lower winter; US revenue tempered by changes in the IRA Medicare Part D design, which dampened US r. [Micro=0.15; Blend=0.15]
Pfizer		2025	Q2	Ben/DeepSeek	LLM	0.30	BUY		22.37	23.08						Tone: confident. Risks: Impact of IRA Medicare Part D redesign ($825 million unfavorable impact in Q2).; Uncertainty around COVID revenue in H2 2025 (partially derisked in guidance).. [Micro=0.30; Blend=0.30]
Pfizer		2025	Q4	Ben/DeepSeek	LLM	0.15	HOLD		26.23	24.95						Tone: confident. Risks: Upcoming LOE headwinds from 2026 to 2028, with ~$1.5 billion revenue compression from; COVID products expected to trend lower again in 2026 to ~$5 billion.. [Micro=0.15; Blend=0.15]
Pfizer		2026	Q1	Ben/DeepSeek	LLM	0.25	HOLD		25.87	26.16						Tone: confident. Risks: Sustained low disease levels of COVID will likely continue to weigh on Paxlovid utili; The plan assumes the majority of Comirnaty sales will occur towards the end of the ye. [Micro=0.25; Blend=0.25]
United Airlines		2025	Q1	Ben/DeepSeek	LLM	-0.50	SELL		67.00	69.64						Tone: cautious. Risks: Softer macroeconomic environment driving volatility and softer demand for travel.; Reasonable chance that bookings could weaken further, potentially leading to a recess. [Micro=-0.50; Blend=-0.50]
United Airlines		2025	Q2	Ben/DeepSeek	LLM	0.30	BUY		88.47	91.89						Tone: confident. Risks: Newark Airport event (FAA technology outages, runway construction) impacted Q2 margin; Geopolitical and macroeconomic uncertainty, though noted as decreasing, remains a ris. [Micro=0.30; Blend=0.30]
United Airlines		2025	Q3	Ben/DeepSeek	LLM	0.30	BUY		104.05	102.94						Tone: confident. Risks: Latin America results were disappointing with elevated year-to-year capacity expected; Ongoing negotiations with the Association of Flight Attendants (AFA) for a new contra. [Micro=0.30; Blend=0.30]
United Airlines		2025	Q4	Ben/DeepSeek	LLM	0.30	BUY		108.57	111.95						Tone: confident. Risks: $250 million impact on pre-tax earnings from the government shutdown; Main cabin revenues showing weakness with standard and basic economy revenues down ap. [Micro=0.30; Blend=0.30]
