Company	Ticker	Year	Quarter	Rater	Type (Human/LM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (mins)	Prior Close ($)	Next Day Open ($)	Actual % Change	Actual Direction	Prediction Correct?	Notes / Risks Flagged
Boeing	BA	2021	Q1	Ben/DeepSeek	LM	0.15	HOLD		$235.46	$237.00				Tone: mixed. Risks: COVID-19 pandemic continues to challenge the overall market environment.; 737 MAX electrical issues identified in certain locations in the flight deck of selec. [Micro=0.15; Blend=0.15]
Boeing	BA	2022	Q1	Ben/DeepSeek	LM	-0.50	SELL		$154.46	$156.61				Tone: mixed. Risks: Charges on fixed-price defense development programs: VC-25B $660 million charge, T-7A; Impacts of the war in Ukraine: $212 million pre-tax charges.. [Micro=-0.50; Blend=-0.50]
Boeing	BA	2023	Q1	Ben/DeepSeek	LM	-0.15	HOLD		$203.03	$204.65				Tone: confident. Risks: 737 fuselage supplier non-standard manufacturing process impacting near-term deliveri; Supply chain disruptions and instability expected to continue through 2024.. [Micro=-0.15; Blend=-0.15]
Boeing	BA	2024	Q1	Ben/DeepSeek	LM	-0.50	SELL		$164.33	$163.59				Tone: cautious. Risks: Lower 737 deliveries and 737-9 grounding customer considerations impacting financial; Production slowdown below 38 per month on 737, with deliveries under pressure in the. [Micro=-0.50; Blend=-0.50]
Boeing	BA	2025	Q1	Ben/DeepSeek	LM	0.22	HOLD		$172.37	$171.20				Tone: confident. Risks: China delivery uncertainty: ~50 China deliveries in plan for the year, with customers; Tariff input costs: net annual impact of higher tariffs on input costs is less than $. [Micro=0.20; Blend=0.22] [news]
Boeing	BA	2026	Q1	Ben/DeepSeek	LM	0.20	HOLD		$231.28	$231.51				Tone: confident. Risks: Commercial Airplanes segment remains loss-making with operating margin of (6.1)%.; Negative free cash flow of ($1.5) billion.. [Micro=0.20; Blend=0.20]
Boeing	BA	2021	Q2	Ben/DeepSeek	LM	0.20	HOLD		$231.57	$233.69				Tone: optimistic. Risks: COVID-19 pandemic and related industry impacts, including on operations, liquidity, h; 737 MAX: timing and conditions of remaining regulatory approvals, lower than planned. [Micro=0.20; Blend=0.20]
Boeing	BA	2022	Q2	Ben/DeepSeek	LM	0.20	HOLD		$156.09	$154.02				Tone: confident. Risks: Lower defense volume and unfavorable performance, including charges on fixed-price de; 787 deliveries remain paused; no date given for resumption; program producing at very. [Micro=0.20; Blend=0.20]
Boeing	BA	2023	Q2	Ben/DeepSeek	LM	0.20	HOLD		$232.80	$235.25				Tone: confident. Risks: Supply chain constraints: 'we still find ourselves in a supply-constrained environmen; BDS fixed-price development program losses: $257M on Commercial Crew, $189M on T-7A,. [Micro=0.20; Blend=0.20]
Boeing	BA	2024	Q2	Ben/DeepSeek	LM	-0.50	SELL		$190.60	$190.00				Tone: cautious. Risks: Lower commercial delivery volume and losses on fixed-price defense development progra; $1.0 billion of losses on certain fixed-price development programs in Defense, Space. [Micro=-0.50; Blend=-0.50]
Boeing	BA	2025	Q2	Ben/DeepSeek	LM	0.24	HOLD		$226.08	$227.84				Tone: confident. Risks: 737-7 and 737-10 certification delayed to 2026 due to engine anti-ice solution taking; Potential $700 million one-time payment related to DOJ non-prosecution agreement in Q. [Micro=0.25; Blend=0.24] [news]
Boeing	BA	2021	Q3	Ben/DeepSeek	LM	0.15	HOLD		$206.61	$206.00				Tone: optimistic. Risks: 787 delivery pause: 'The company continues to focus 787 production resources on condu; Abnormal costs on 787: 'The low production rates and rework are expected to result in. [Micro=0.15; Blend=0.15]
Boeing	BA	2022	Q3	Ben/DeepSeek	LM	-0.50	SELL		$133.79	$137.10				Tone: cautious. Risks: $2.8 billion of losses on certain fixed-price development programs (KC-46A, VC-25B, M; Unfavorable performance on other defense programs.. [Micro=-0.50; Blend=-0.50]
Boeing	BA	2023	Q3	Ben/DeepSeek	LM	-0.50	SELL		$177.73	$177.11				Tone: mixed. Risks: Lower 737 deliveries due to supplier non-conformance on aft pressure bulkhead.; Unfavorable defense performance, including $482 million loss on VC-25B and $315 milli. [Micro=-0.50; Blend=-0.50]
Boeing	BA	2024	Q3	Ben/DeepSeek	LM	-0.85	SELL		$157.06	$152.61				Tone: cautious. Risks: IAM work stoppage impacting production, deliveries, and cash flow.; Pre-tax charges of $3.0 billion on 777X and 767 programs and $2.0 billion on T-7A, KC. [Micro=-0.85; Blend=-0.85]
Boeing	BA	2025	Q3	Ben/DeepSeek	LM	-0.34	SELL		$213.58	$210.01				Tone: mixed. Risks: 777X certification delay: first delivery now expected in 2027, resulting in a $4.9 bi; IAM-represented workforce strike in St. Louis, impacting defense programs.. [Micro=-0.50; Blend=-0.34] [news]
Boeing	BA	2020	Q4	Ben/DeepSeek	LM	-0.50	SELL		$194.03	$198.05				Tone: cautious. Risks: COVID-19 pandemic significantly constraining commercial air travel and impacting resu; 737 MAX grounding and regulatory approval process. [Micro=-0.50; Blend=-0.50]
Boeing	BA	2021	Q4	Ben/DeepSeek	LM	-0.50	SELL		$194.27	$196.38				Tone: mixed. Risks: 787 program recorded a $3.5 billion pre-tax non-cash charge; rework will take longer; Defense, Space & Security operating margin decreased to (4.4)% due to lower volume an. [Micro=-0.50; Blend=-0.50]
Boeing	BA	2022	Q4	Ben/DeepSeek	LM	0.20	HOLD		$212.68	$213.48				Tone: confident. Risks: Supply chain instability causing production stoppages and constraints.; 787 abnormal costs increased by ~$600M to ~$2.8B total due to supplier constraint slo. [Micro=0.20; Blend=0.20]
Boeing	BA	2023	Q4	Ben/DeepSeek	LM	-0.50	SELL		$211.04	$213.84				Tone: defensive. Risks: Alaska Airlines Flight 1282 accident and ongoing NTSB investigation.; 737 MAX 9 grounding and return-to-service process.. [Micro=-0.50; Blend=-0.50]
Boeing	BA	2024	Q4	Ben/DeepSeek	LM	-0.50	SELL		$177.78	$179.13				Tone: cautious. Risks: IAM work stoppage and agreement impacts on production and costs.; Charges on fixed-price development programs in Defense, Space & Security (KC-46A, T-7. [Micro=-0.50; Blend=-0.50]
