# Report date audit: report_date vs EDGAR-verified release date
# Generated: 2026-08-12
# Source: EDGAR 8-K Item 2.02 (US filers) and 6-K (Spotify)
# Non-US issuers and LMT are excluded (no EDGAR 8-K)
#
# CORRECTION (2026-08-11): The GS +3 gaps (GS_FQ1_2025: report_date 2025-04-11
# vs release 2025-04-14; GS_FQ1_2026: report_date 2026-04-10 vs release
# 2026-04-13) are NOT weekend artifacts. 2025-04-11 and 2026-04-10 are Fridays;
# the EDGAR 8-K was filed the following Monday. GS released earnings on Monday,
# not Friday. These are report_date errors of the same class as JPM_FQ1_2025
# (report_date one trading session before the actual release), not benign
# calendar gaps. release_date is the correct anchor for these events.
#
# NOTE (2026-08-11): HOOD_FQ3_2025: two Item 2.02 candidates (2025-11-05 and
# 2025-10-31). The 2025-11-05 match is correct per Robinhood IR (results
# announced Nov 5 after close). The 2025-10-31 candidate is likely a different
# filing or an amended 8-K. This is the single weakest anchor -- the only event
# where proximity was used as a tiebreaker between two Item 2.02 filings, but
# independently confirmed correct. The primaryDocument filename hood-20251030.htm
# carries the fiscal period end date, not the release date.
#
# NOTE (2026-08-11): LOW_FQ1_2025 has report_date=2026-05-21 but EDGAR 8-K filed
# 2026-05-20. Lowe's released Q1 FY2026 results on May 20, 2026 (earnings call
# at 9am ET, press release same day). report_date is wrong by +1 day.
# release_date (2026-05-20) is the correct anchor.
#
document_id,ticker,issuer,report_date,verified_release_date,gap_days,direction,primary_document,report_date_corrected,entry_shifted_vs_legacy
AAPL_FQ1_2026,AAPL,p2_apple,2026-01-29,2026-01-29,0,match,aapl-20260129.htm,NO,NO
AAPL_FQ3_2025,AAPL,p2_apple,2025-07-31,2025-07-31,0,match,aapl-20250731.htm,NO,NO
AAPL_FQ4_2025,AAPL,p2_apple,2025-10-30,2025-10-30,0,match,aapl-20251030.htm,NO,NO
ABNB_FQ1_2026,ABNB,p2_airbnb,2026-05-07,2026-05-07,0,match,d23351d8k.htm,NO,NO
ABNB_FQ2_2025,ABNB,p2_airbnb,2025-08-06,2025-08-06,0,match,d17531d8k.htm,NO,NO
ABNB_FQ3_2025,ABNB,p2_airbnb,2025-11-06,2025-11-06,0,match,d40503d8k.htm,NO,NO
ABNB_FQ4_2025,ABNB,p2_airbnb,2026-02-12,2026-02-12,0,match,d58192d8k.htm,NO,NO
AMD_FQ1_2026,AMD,p2_amd,2026-05-05,2026-05-05,0,match,amd-20260505.htm,NO,NO
AMD_FQ2_2025,AMD,p2_amd,2025-08-05,2025-08-05,0,match,amd-20250805.htm,NO,NO
AMD_FQ4_2025,AMD,p2_amd,2026-02-03,2026-02-03,0,match,amd-20260203.htm,NO,NO
AMZN_FQ1_2026,AMZN,p2_amazon,2026-04-29,2026-04-29,0,match,amzn-20260429.htm,NO,NO
AMZN_FQ3_2025,AMZN,p2_amazon,2025-10-30,2025-10-30,0,match,amzn-20251030.htm,NO,NO
AMZN_FQ4_2025,AMZN,p2_amazon,2026-02-05,2026-02-05,0,match,amzn-20260205.htm,NO,NO
AVGO_FQ1_2026,AVGO,p2_broadcom,2026-03-04,2026-03-04,0,match,avgo-20260304.htm,NO,NO
AVGO_FQ3_2025,AVGO,p2_broadcom,2025-09-04,2025-09-04,0,match,avgo-20250904.htm,NO,NO
AVGO_FQ4_2025,AVGO,p2_broadcom,2025-12-11,2025-12-11,0,match,avgo-20251211.htm,NO,NO
BAC_FQ1_2025,BAC,p2_bank_of_america,2025-04-15,2025-04-15,0,match,bac-20250415.htm,NO,YES
BAC_FQ2_2025,BAC,p2_bank_of_america,2025-07-15,2025-07-16,1,release AFTER,bac-20250716.htm,YES,NO
BAC_FQ3_2025,BAC,p2_bank_of_america,2025-10-14,2025-10-15,1,release AFTER,bac-20251015.htm,YES,NO
BAC_FQ4_2025,BAC,p2_bank_of_america,2026-01-13,2026-01-14,1,release AFTER,bac-20260114.htm,YES,NO
BA_FQ1_2025,BA,p2_boeing,2025-04-23,2025-04-23,0,match,ba-20250423.htm,NO,YES
BA_FQ2_2025,BA,p2_boeing,2025-07-29,2025-07-29,0,match,ba-20250729.htm,NO,YES
BA_FQ3_2025,BA,p2_boeing,2025-10-29,2025-10-29,0,match,ba-20251029.htm,NO,YES
BA_FQ4_2025,BA,p2_boeing,2026-01-26,2026-01-27,1,release AFTER,ba-20260127.htm,YES,NO
BKNG_FQ2_2025,BKNG,p2_booking_holdings,2025-07-29,2025-07-29,0,match,bkng-20250729.htm,NO,NO
BKNG_FQ3_2025,BKNG,p2_booking_holdings,2025-10-28,2025-10-28,0,match,bkng-20251028.htm,NO,NO
BKNG_FQ4_2025,BKNG,p2_booking_holdings,2026-02-18,2026-02-18,0,match,bkng-20260218.htm,NO,NO
CAT_FQ2_2025,CAT,p2_caterpillar,2025-08-04,2025-08-05,1,release AFTER,cat-20250805.htm,YES,NO
CAT_FQ3_2025,CAT,p2_caterpillar,2025-10-28,2025-10-29,1,release AFTER,cat-20251029.htm,YES,NO
CAT_FQ4_2025,CAT,p2_caterpillar,2026-01-28,2026-01-29,1,release AFTER,cat-20260129.htm,YES,NO
CMCSA_FQ1_2025,CMCSA,p2_comcast_corporation,2025-04-23,2025-04-24,1,release AFTER,cmcsa-20250424.htm,YES,NO
CMCSA_FQ1_2026,CMCSA,p2_comcast_corporation,2026-04-22,2026-04-23,1,release AFTER,cmcsa-20260423.htm,YES,NO
CMCSA_FQ2_2025,CMCSA,p2_comcast_corporation,2025-07-30,2025-07-31,1,release AFTER,cmcsa-20250731.htm,YES,NO
CMCSA_FQ4_2025,CMCSA,p2_comcast_corporation,2026-01-28,2026-01-29,1,release AFTER,cmcsa-20260129.htm,YES,NO
CMG_FQ1_2025,CMG,p2_chipotle,2025-04-23,2025-04-23,0,match,cmg-20250423.htm,NO,NO
CMG_FQ2_2025,CMG,p2_chipotle,2025-07-23,2025-07-23,0,match,cmg-20250723.htm,NO,NO
CMG_FQ3_2025,CMG,p2_chipotle,2025-10-29,2025-10-29,0,match,cmg-20251029.htm,NO,NO
CMG_FQ4_2025,CMG,p2_chipotle,2026-02-03,2026-02-03,0,match,cmg-20260203.htm,NO,NO
COIN_FQ1_2026,COIN,p2_coinbase,2026-05-07,2026-05-07,0,match,coin-20260507.htm,NO,NO
COIN_FQ3_2025,COIN,p2_coinbase,2025-10-30,2025-10-30,0,match,coin-20251030.htm,NO,NO
COIN_FQ4_2025,COIN,p2_coinbase,2026-02-12,2026-02-12,0,match,coin-20260212.htm,NO,NO
CRM_FQ2_2026,CRM,p2_salesforce,2025-09-03,2025-09-03,0,match,crm-20250903.htm,NO,NO
CRM_FQ3_2026,CRM,p2_salesforce,2025-12-03,2025-12-03,0,match,crm-20251203.htm,NO,NO
CRM_FQ4_2026,CRM,p2_salesforce,2026-02-25,2026-02-25,0,match,crm-20260225.htm,NO,NO
CVS_FQ1_2026,CVS,p2_cvs_health,2026-05-06,2026-05-06,0,match,cvs-20260506.htm,NO,YES
CVS_FQ2_2025,CVS,p2_cvs_health,2025-07-31,2025-07-31,0,match,cvs-20250731.htm,NO,YES
CVS_FQ3_2025,CVS,p2_cvs_health,2025-10-29,2025-10-29,0,match,cvs-20251029.htm,NO,YES
CVS_FQ4_2025,CVS,p2_cvs_health,2026-02-10,2026-02-10,0,match,cvs-20260210.htm,NO,YES
C_FQ1_2025,C,p2_citigroup,2025-04-15,2025-04-15,0,match,c-20240712x8k.htm,NO,YES
C_FQ2_2025,C,p2_citigroup,2025-07-15,2025-07-15,0,match,c-20250715x8k.htm,NO,YES
C_FQ3_2025,C,p2_citigroup,2025-10-14,2025-10-14,0,match,c-20251014x8k.htm,NO,YES
C_FQ4_2025,C,p2_citigroup,2026-01-14,2026-01-14,0,match,c-20260114x8k.htm,NO,YES
DAL_FQ1_2025,DAL,p2_delta_air_lines,2025-04-09,2025-04-09,0,match,delta_8k.htm,NO,YES
DAL_FQ2_2025,DAL,p2_delta_air_lines,2025-07-10,2025-07-10,0,match,delta_8k.htm,NO,YES
DAL_FQ3_2025,DAL,p2_delta_air_lines,2025-10-09,2025-10-09,0,match,dal-20251009.htm,NO,YES
DAL_FQ4_2025,DAL,p2_delta_air_lines,2026-01-13,2026-01-13,0,match,dal-20260112.htm,NO,YES
DELL_FQ1_2025,DELL,p2_dell,2025-05-29,2025-05-29,0,match,dell-20250529.htm,NO,NO
DELL_FQ3_2025,DELL,p2_dell,2025-11-25,2025-11-25,0,match,dell-20251125.htm,NO,NO
DELL_FQ4_2025,DELL,p2_dell,2026-02-26,2026-02-26,0,match,dell-20260226.htm,NO,NO
DIS_FQ1_2025,DIS,p2_disney,2025-02-05,2025-02-05,0,match,dis-20250205.htm,NO,YES
DIS_FQ3_2025,DIS,p2_disney,2025-08-05,2025-08-06,1,release AFTER,dis-20250806.htm,YES,NO
DIS_FQ4_2025,DIS,p2_disney,2025-11-12,2025-11-13,1,release AFTER,dis-20251113.htm,YES,NO
EXPE_FQ1_2025,EXPE,p2_expedia,2025-05-08,2025-05-08,0,match,expe-20250508.htm,NO,NO
EXPE_FQ1_2026,EXPE,p2_expedia,2026-05-07,2026-05-07,0,match,expe-20260507.htm,NO,NO
EXPE_FQ2_2025,EXPE,p2_expedia,2025-08-07,2025-08-07,0,match,expe-20250807.htm,NO,NO
EXPE_FQ4_2025,EXPE,p2_expedia,2026-02-12,2026-02-12,0,match,expe-20260212.htm,NO,NO
FDX_FQ1_2026,FDX,p2_fedex,2025-09-18,2025-09-18,0,match,fdx-20250918.htm,NO,NO
FDX_FQ2_2026,FDX,p2_fedex,2025-12-18,2025-12-18,0,match,fdx-20251218.htm,NO,NO
FDX_FQ3_2026,FDX,p2_fedex,2026-03-19,2026-03-19,0,match,fdx-20260319.htm,NO,NO
FDX_FQ4_2026,FDX,p2_fedex,2026-06-23,2026-06-23,0,match,fdx-20260623.htm,NO,NO
F_FQ1_2026,F,p2_ford,2026-04-29,2026-04-29,0,match,f-20260429.htm,NO,NO
F_FQ2_2025,F,p2_ford,2025-07-30,2025-07-30,0,match,f-20250730.htm,NO,NO
F_FQ4_2025,F,p2_ford,2026-02-10,2026-02-10,0,match,f-20260210.htm,NO,NO
GIS_FQ2_2026,GIS,p2_general_mills,2025-12-17,2025-12-17,0,match,gis-20251217.htm,NO,YES
GIS_FQ3_2026,GIS,p2_general_mills,2026-03-18,2026-03-18,0,match,gis-20260318.htm,NO,YES
GIS_FQ4_2026,GIS,p2_general_mills,2026-07-01,2026-07-01,0,match,gis-20260701.htm,NO,YES
GOOGL_FQ1_2026,GOOGL,p2_alphabet,2026-04-29,2026-04-29,0,match,goog-20260429.htm,NO,NO
GOOGL_FQ3_2025,GOOGL,p2_alphabet,2025-10-29,2025-10-29,0,match,goog-20251029.htm,NO,NO
GOOGL_FQ4_2025,GOOGL,p2_alphabet,2026-02-04,2026-02-04,0,match,goog-20260204.htm,NO,NO
GS_FQ1_2025,GS,p2_goldman_sachs,2025-04-11,2025-04-14,3,release AFTER,d750054d8k.htm,YES,NO
GS_FQ1_2026,GS,p2_goldman_sachs,2026-04-10,2026-04-13,3,release AFTER,gs-20260413.htm,YES,NO
GS_FQ2_2025,GS,p2_goldman_sachs,2025-07-15,2025-07-16,1,release AFTER,d41877d8k.htm,YES,NO
GS_FQ2_2026,GS,p2_goldman_sachs,2026-07-13,2026-07-14,1,release AFTER,gs-20260714.htm,YES,NO
GS_FQ3_2025,GS,p2_goldman_sachs,2025-10-13,2025-10-14,1,release AFTER,d899312d8k.htm,YES,NO
GS_FQ4_2025,GS,p2_goldman_sachs,2026-01-14,2026-01-15,1,release AFTER,gs-20260115.htm,YES,NO
HLT_FQ1_2025,HLT,p2_hilton,2025-04-29,2025-04-29,0,match,hlt-20250429.htm,NO,YES
HLT_FQ1_2026,HLT,p2_hilton,2026-04-28,2026-04-28,0,match,hlt-20260428.htm,NO,YES
HLT_FQ2_2025,HLT,p2_hilton,2025-07-23,2025-07-23,0,match,hlt-20250723.htm,NO,YES
HLT_FQ3_2024,HLT,p2_hilton,2024-10-23,2024-10-23,0,match,hlt-20241023.htm,NO,YES
HLT_FQ4_2025,HLT,p2_hilton,2026-02-11,2026-02-11,0,match,hlt-20260211.htm,NO,YES
HOOD_FQ1_2025,HOOD,p2_robinhood_markets,2025-04-30,2025-04-30,0,match,hood-20250430.htm,NO,NO
