# notes_analysis_2026-08-15.csv
# Generated: 2026-08-15
# Source: data/human/notes/ (93 files, 5 raters, 3 formats)
# README: data/human/notes/README.md
# SEALED constraint: formal worksheets read only above '— SEALED —' marker.
#   Offset-A files (David 52-71) read only above 'FIRST READ SEALED'.
#   Dragos Phase 3 log excluded from evidence alignment and reasoning taxonomy.
# Dragos Phase 3 scores and timings are on a SURPRISE scale (not sentiment). Not pooled.
# Evidence alignment: matched=exact substring; near_matched=4+ consecutive words found;
#   not_found=no 4-word overlap; source_unavailable=no extracted text for that ticker.
# Reasoning categories: built bottom-up from corpus; eight categories (see markdown).
# Tone direction: inferred from positive/negative language in rationale text.
# Numbers direction: inferred from quantitative figures (up/down percentages etc).
# Tension: yes if tone and numbers point in different directions; followed=which the signal followed.
# Suppression: accuracy / category-accuracy cells with n < 10 suppressed in markdown.
#
file,rater,format,has_sealed,company,report,info_set,has_sim,time_mins,signal,n_quotes,evidence_matched,evidence_near,evidence_not_found,evidence_unknown,rationale_categories,tone,numbers,tension,followed
01 amazon q1 2026 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q1 2026
Release date Wednesday 29 April 2026",full,False,52,BUY,7,7,0,0,0,revenue_earnings;margin_cost;uncertainty_risk,positive,positive,no,n/a
02 amazon q3 2025 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q3 2025
Release date Thursday 30 October 2025",full,False,47,SELL,7,7,0,0,0,revenue_earnings;margin_cost;segment_product;macro_external;uncertainty_risk,mixed,positive,no,n/a
03 amazon q4 2025 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q4 2025
Release date Thursday 5 February 2026",full,False,58,SELL,7,7,0,0,0,revenue_earnings;margin_cost;segment_product;valuation_expectations,negative,positive,yes,tone
04 amd q1 2026 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q1 2026
Release date Tuesday 5 May 2026",full,False,51,BUY,7,7,0,0,0,revenue_earnings;forward_guidance;margin_cost;segment_product;macro_external,positive,positive,no,n/a
05 amd q2 2025 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q2 2025
Release date Tuesday 5 August 2025",full,False,44,BUY,7,7,0,0,0,revenue_earnings;forward_guidance;margin_cost;segment_product;macro_external,positive,positive,no,n/a
06 amd q4 2025 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q4 2025
Release date Tuesday 3 February 2026",full,False,55,BUY,7,7,0,0,0,revenue_earnings;forward_guidance;margin_cost;segment_product;management_tone;macro_external;valuation_expectations;uncertainty_risk,mixed,positive,no,n/a
07 coinbase q1 2026 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q1 2026
Release date Thursday 7 May 2026",full,False,63,BUY,7,7,0,0,0,revenue_earnings;margin_cost;segment_product,mixed,negative,no,n/a
08 coinbase q3 2025 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q3 2025
Release date Thursday 30 October 2025",full,False,49,BUY,7,7,0,0,0,revenue_earnings;forward_guidance;valuation_expectations,positive,positive,no,n/a
09 coinbase q4 2025 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q4 2025
Release date Thursday 12 February 2026",full,False,42,HOLD,7,7,0,0,0,revenue_earnings;forward_guidance;margin_cost;segment_product;valuation_expectations,mixed,negative,no,n/a
10 eli lilly q1 2026 david.pdf,David,formal_worksheet,True,Eli Lilly and Company (LLY),"Q1 2026
Release date Thursday 30 April 2026",full,False,68,BUY,7,5,2,0,0,revenue_earnings;forward_guidance;segment_product,positive,positive,no,n/a
11 eli lilly q3 2025 david.pdf,David,formal_worksheet,True,Eli Lilly and Company (LLY),"Q3 2025
Release date Thursday 30 October 2025",full,False,61,SELL,7,7,0,0,0,revenue_earnings;segment_product;valuation_expectations,positive,positive,no,n/a
12 eli lilly q4 2025 david.pdf,David,formal_worksheet,True,Eli Lilly and Company (LLY),"Q4 2025
Release date Wednesday 4 February 2026",full,False,57,BUY,7,7,0,0,0,revenue_earnings;forward_guidance;segment_product;valuation_expectations,positive,positive,no,n/a
13 meta q1 2026 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q1 2026
Release date Wednesday 29 April 2026",full,False,46,BUY,7,7,0,0,0,revenue_earnings;margin_cost;segment_product,positive,positive,no,n/a
14 meta q3 2025 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q3 2025
Release date Wednesday 29 October 2025",full,False,53,SELL,7,7,0,0,0,revenue_earnings;margin_cost;segment_product,mixed,positive,no,n/a
15 meta q4 2025 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q4 2025
Release date Wednesday 28 January 2026",full,False,65,BUY,7,7,0,0,0,revenue_earnings;forward_guidance;margin_cost;valuation_expectations;uncertainty_risk,mixed,positive,no,n/a
19 tesla q1 2026 david.pdf,David,formal_worksheet,True,releases after the market close. The overnight move is defined,"Q1 2026
Release date Wednesday 22 April 2026",full,False,41,HOLD,7,7,0,0,0,revenue_earnings;forward_guidance;margin_cost;segment_product,negative,positive,yes,ambiguous
