slug,file,detected_type,check_company,check_period,check_transcript,check_doctype,status,notes
adobe,docs/adobe/CY2025-Q3/ADBE_Q3_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
adobe,docs/adobe/CY2025-Q3/ADBE_Q3_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
adobe,docs/adobe/CY2025-Q4/ADBE_Q4_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
adobe,docs/adobe/CY2025-Q4/ADBE_Q4_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
adobe,docs/adobe/CY2026-Q1/ADBE_Q1_2026_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
adobe,docs/adobe/CY2026-Q1/ADBE_Q1_2026_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
adobe,docs/adobe/CY2026-Q2/ADBE_Q2_2026_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
adobe,docs/adobe/CY2026-Q2/ADBE_Q2_2026_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
american_express,docs/american_express/CY2025-Q2/AXP_Q2_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
american_express,docs/american_express/CY2025-Q2/EAXP_Q2_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
american_express,docs/american_express/CY2025-Q3/AXP_Q3_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
american_express,docs/american_express/CY2025-Q3/AXP_Q3_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
american_express,docs/american_express/CY2025-Q4/AXP_Q4_2025_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
american_express,docs/american_express/CY2025-Q4/AXP_Q4_2025_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
american_express,docs/american_express/CY2026-Q1/AAXP_Q1_2026_Earnings_Call_Transcript.htm,Earnings Call Transcript,PASS,PASS,WARN,PASS,WARN,Transcript: Q&A opened but no closing phrase in final 500 chars — possible truncation
american_express,docs/american_express/CY2026-Q1/AXP_Q1_2026_Press_Release.htm,Press Release,PASS,PASS,N/A,PASS,PASS,
chevron,docs/chevron/CY2025-Q2/CVX_Q2_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
chevron,docs/chevron/CY2025-Q2/CVX_Q2_2025_Press_Release.pdf,Press Release,PASS,PASS,N/A,PASS,PASS,
chevron,docs/chevron/CY2025-Q3/CVX_Q3_2025_Earnings_Call_Transcript.pdf,Earnings Call Transcript,PASS,PASS,PASS,PASS,PASS,
